YEAR,MONTH,REVENUE,ORDERS
2016,9,388.46999999999997,4
2016,10,76120.17,324
2016,12,19.62,1
2017,1,189015.66,800
2017,2,349701.93,1780
2017,3,544738.23,2682
2017,4,510891.55,2404
2017,5,731017.09,3700
2017,6,608891.38,3245
2017,7,744599.53,4026
2017,8,876129.37,4331
2017,9,1023095.49,4285
2017,10,1031505.53,4631
2017,11,1599444.18,7544
2017,12,1057582.34,5673
2018,1,1415348.54,7269
2018,2,1311260.71,6728
2018,3,1480045.5,7211
2018,4,1497843.94,6939
2018,5,1511113.0,6873
2018,6,1298685.81,6167
2018,7,1359421.48,6292
2018,8,1248837.93,6512
2018,9,4439.54,16
2018,10,589.67,4
